Gregorian_date,lunar_date,hour,light.dark,study_time,colony_id,tank_id,system,RO,total_RO,per.release,prop.release
2022-3-1,2022-1-29,21,dark,3,RAS_colony6,RAS_tank1,RAS,12,858,1.398601399,0.013986014
2022-3-1,2022-1-29,22,dark,4,RAS_colony6,RAS_tank1,RAS,0,858,0,0
2022-3-1,2022-1-29,23,dark,5,RAS_colony6,RAS_tank1,RAS,7,858,0.815850816,0.008158508
2022-3-2,2022-1-30,00,dark,6,RAS_colony6,RAS_tank1,RAS,11,858,1.282051282,0.012820513
2022-3-2,2022-1-30,1,dark,7,RAS_colony6,RAS_tank1,RAS,31,858,3.613053613,0.036130536
2022-3-2,2022-1-30,2,dark,8,RAS_colony6,RAS_tank1,RAS,63,858,7.342657343,0.073426573
2022-3-2,2022-1-30,3,dark,9,RAS_colony6,RAS_tank1,RAS,94,858,10.95571096,0.10955711
2022-3-2,2022-1-30,4,dark,10,RAS_colony6,RAS_tank1,RAS,159,858,18.53146853,0.185314685
2022-3-2,2022-1-30,5,dark,11,RAS_colony6,RAS_tank1,RAS,98,858,11.42191142,0.114219114
2022-3-2,2022-1-30,6,dark,12,RAS_colony6,RAS_tank1,RAS,49,858,5.710955711,0.057109557
2022-3-2,2022-1-30,7,light,13,RAS_colony6,RAS_tank1,RAS,33,858,3.846153846,0.038461538
2022-3-2,2022-1-30,8,light,14,RAS_colony6,RAS_tank1,RAS,4,858,0.466200466,0.004662005
2022-3-2,2022-1-30,9,light,15,RAS_colony6,RAS_tank1,RAS,8,858,0.932400932,0.009324009
2022-3-2,2022-1-30,10,light,16,RAS_colony6,RAS_tank1,RAS,2,858,0.233100233,0.002331002
2022-3-2,2022-1-30,11,light,17,RAS_colony6,RAS_tank1,RAS,0,858,0,0
2022-3-2,2022-1-30,12,light,18,RAS_colony6,RAS_tank1,RAS,4,858,0.466200466,0.004662005
2022-3-2,2022-1-30,13,light,19,RAS_colony6,RAS_tank1,RAS,4,858,0.466200466,0.004662005
2022-3-2,2022-1-30,14,light,20,RAS_colony6,RAS_tank1,RAS,2,858,0.233100233,0.002331002
2022-3-2,2022-1-30,15,light,21,RAS_colony6,RAS_tank1,RAS,1,858,0.116550117,0.001165501
2022-3-2,2022-1-30,16,light,22,RAS_colony6,RAS_tank1,RAS,1,858,0.116550117,0.001165501
2022-3-2,2022-1-30,17,light,23,RAS_colony6,RAS_tank1,RAS,3,858,0.34965035,0.003496503
2022-3-2,2022-1-30,18,light,24,RAS_colony6,RAS_tank1,RAS,0,858,0,0
2022-3-2,2022-1-30,19,dark,25,RAS_colony6,RAS_tank1,RAS,30,858,3.496503497,0.034965035
2022-3-2,2022-1-30,20,dark,26,RAS_colony6,RAS_tank1,RAS,7,858,0.815850816,0.008158508
